Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Par Value,Price,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Coupon (%),Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Accrual Date,Effective Date
"LIN","Linde PLC","Materials","Equity","","1.08","","","","","","","","","","","","","","","","","","","",""
"QCOM","QUALCOMM Inc","Information Technology","Equity","","1.03","","","","","","","","","","","","","","","","","","","",""
"SNDK","Sandisk Corp","Information Technology","Equity","","1.03","","","","","","","","","","","","","","","","","","","",""
"TMUS","T-Mobile US Inc","Communication","Equity","","0.95","","","","","","","","","","","","","","","","","","","",""
"PANW","Palo Alto Networks Inc","Information Technology","Equity","","0.94","","","","","","","","","","","","","","","","","","","",""
"PEP","PepsiCo Inc","Consumer Staples","Equity","","0.92","","","","","","","","","","","","","","","","","","","",""
"ADI","Analog Devices Inc","Information Technology","Equity","","0.85","","","","","","","","","","","","","","","","","","","",""
"AMGN","Amgen Inc","Health Care","Equity","","0.83","","","","","","","","","","","","","","","","","","","",""
"STX","Seagate Technology Holdings PLC","Information Technology","Equity","","0.80","","","","","","","","","","","","","","","","","","","",""
"MRVL","Marvell Technology Inc","Information Technology","Equity","","0.75","","","","","","","","","","","","","","","","","","","",""
"WDC","Western Digital Corp","Information Technology","Equity","","0.75","","","","","","","","","","","","","","","","","","","",""
"CRWD","Crowdstrike Holdings Inc","Information Technology","Equity","","0.74","","","","","","","","","","","","","","","","","","","",""
"GILD","Gilead Sciences Inc","Health Care","Equity","","0.73","","","","","","","","","","","","","","","","","","","",""
"ISRG","Intuitive Surgical Inc","Health Care","Equity","","0.71","","","","","","","","","","","","","","","","","","","",""
"APP","AppLovin Corp","Information Technology","Equity","","0.68","","","","","","","","","","","","","","","","","","","",""
"HON","Honeywell International Inc","Industrials","Equity","","0.65","","","","","","","","","","","","","","","","","","","",""
"ASML","ASML Holding NV","Information Technology","Equity","","0.63","","","","","","","","","","","","","","","","","","","",""
"SHOP","Shopify Inc","Information Technology","Equity","","0.58","","","","","","","","","","","","","","","","","","","",""
"BKNG","Booking Holdings Inc","Consumer Discretionary","Equity","","0.57","","","","","","","","","","","","","","","","","","","",""
"SBUX","Starbucks Corp","Consumer Discretionary","Equity","","0.54","","","","","","","","","","","","","","","","","","","",""
"VRTX","Vertex Pharmaceuticals Inc","Health Care","Equity","","0.50","","","","","","","","","","","","","","","","","","","",""
"CEG","Constellation Energy Corp","Utilities","Equity","","0.47","","","","","","","","","","","","","","","","","","","",""
"ADBE","Adobe Inc","Information Technology","Equity","","0.45","","","","","","","","","","","","","","","","","","","",""
"CDNS","Cadence Design Systems Inc","Information Technology","Equity","","0.45","","","","","","","","","","","","","","","","","","","",""
"MAR","Marriott International Inc","Consumer Discretionary","Equity","","0.44","","","","","","","","","","","","","","","","","","","",""
